"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL80937";"LERGOTRILE";"79907|LERGOTRILE|LERGOTRILO";"79907";"2.0";"";"'-erg-'";"1975";"ergot alkaloid derivatives";"'-erg-(-erg-)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CN1C[C@H](CC#N)C[C@@H]2c3cccc4[nH]c(Cl)c(c34)C[C@H]21";"InChI=1S/C17H18ClN3/c1-21-9-10(5-6-19)7-12-11-3-2-4-14-16(11)13(8-15(12)21)17(18)20-14/h2-4,10,12,15,20H,5,7-9H2,1H3/t10-,12-,15-/m1/s1";"False";"0"
"CHEMBL1651990";"FENTICONAZOLE";"FENTICONAZOL|FENTICONAZOLE";"";"2.0";"";"'-conazole'";"1982";"systemic antifungals (miconazole type)";"'-conazole(-conazole)'";"";"D01AC12 | G01AF12";"D01AC - Imidazole and triazole derivatives | G01AF - Imidazole derivatives";"D01A - ANTIFUNGALS FOR TOPICAL USE | G01A - ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS";"D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE | G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS";"D - DERMATOLOGICALS | G - GENITO URINARY SYSTEM AND SEX HORMONES";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1";"InChI=1S/C24H20Cl2N2OS/c25-19-8-11-22(23(26)14-19)24(15-28-13-12-27-17-28)29-16-18-6-9-21(10-7-18)30-20-4-2-1-3-5-20/h1-14,17,24H,15-16H2";"False";"0"
"CHEMBL18098";"SPIZOFURONE";"AG-629|ESPIZOFURONA|SPIZOFURONE";"AG-629";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2";"InChI=1S/C12H10O3/c1-7(13)8-2-3-10-9(6-8)11(14)12(15-10)4-5-12/h2-3,6H,4-5H2,1H3";"False";"0"
"CHEMBL1718918";"CLOPIRAC";"BRL 13856|BRL-13856|CLOPIRAC|CLOPIRACO|CP 172 AP|CP-172-AP|CP-172AP";"BRL 13856|BRL-13856|CP 172 AP|CP-172-AP|CP-172AP";"2.0";"";"'-ac'";"1975";"anti-inflammatory agents (acetic acid derivatives)";"'-ac(-ac)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1cc(CC(=O)O)c(C)n1-c1ccc(Cl)cc1";"InChI=1S/C14H14ClNO2/c1-9-7-11(8-14(17)18)10(2)16(9)13-5-3-12(15)4-6-13/h3-7H,8H2,1-2H3,(H,17,18)";"False";"0"
"CHEMBL1591725";"OXINIACIC ACID";"ACIDE OXINIACIQUE|ACIDO OXINIACICO|NSC-93890|OXINIACIC ACID";"NSC-93890";"2.0";"";"'-cic'";"";"hepatoprotectives (timonacic type)";"'-cic(-cic)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(O)c1ccc[n+]([O-])c1";"InChI=1S/C6H5NO3/c8-6(9)5-2-1-3-7(10)4-5/h1-4H,(H,8,9)";"False";"0"
"CHEMBL130393";"CLIDANAC";"BRITAI|CLIDANAC|CLIDANACO|TAI-284";"TAI-284";"2.0";"";"'-ac'";"";"anti-inflammatory agents (acetic acid derivatives)";"'-ac(-ac)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"O=C(O)C1CCc2cc(C3CCCCC3)c(Cl)cc21";"InChI=1S/C16H19ClO2/c17-15-9-13-11(6-7-12(13)16(18)19)8-14(15)10-4-2-1-3-5-10/h8-10,12H,1-7H2,(H,18,19)";"False";"0"
"CHEMBL1618597";"TRIMECAINE";"TRIMECAINA|TRIMECAINE";"";"2.0";"";"'-caine'";"";"local anesthetics";"'-caine(-caine)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C";"InChI=1S/C15H24N2O/c1-6-17(7-2)10-14(18)16-15-12(4)8-11(3)9-13(15)5/h8-9H,6-7,10H2,1-5H3,(H,16,18)";"False";"0"
"CHEMBL1318939";"THEOFIBRATE";"CLOFIBRATE D'ETOFYLLINE|CLOFIBRATE ETOFYLLINE|CLOFIBRATO DE ETOFILINA|DUOLIP|ETOFYLLINE CLOFIBRATE|ML-1024|NSC-234348|THEOFIBRATE";"ML-1024|NSC-234348";"2.0";"";"'-fibrate'";"1981";"antihyperlipidemics (clofibrate type)";"'-fibrate(-fibrate)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cn1c(=O)c2c(ncn2CCOC(=O)C(C)(C)Oc2ccc(Cl)cc2)n(C)c1=O";"InChI=1S/C19H21ClN4O5/c1-19(2,29-13-7-5-12(20)6-8-13)17(26)28-10-9-24-11-21-15-14(24)16(25)23(4)18(27)22(15)3/h5-8,11H,9-10H2,1-4H3";"False";"0"
"CHEMBL1385514";"DICHLORISONE ACETATE";"DICHLORISONE|DICHLORISONE 21-ACETATE|DICHLORISONE ACETATE|DICLORISONA|NSC-759246";"NSC-759246";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](Cl)C[C@@]21C";"InChI=1S/C23H28Cl2O5/c1-13(26)30-12-19(28)22(29)9-7-16-17-5-4-14-10-15(27)6-8-20(14,2)23(17,25)18(24)11-21(16,22)3/h6,8,10,16-18,29H,4-5,7,9,11-12H2,1-3H3/t16-,17-,18-,20-,21-,22-,23-/m0/s1";"False";"0"
"CHEMBL155731";"QUINELORANE";"QUINELORANE|QUINELORANO";"";"2.0";"";"";"1989";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21";"InChI=1S/C14H22N4/c1-2-5-18-6-3-4-10-7-12-11(8-13(10)18)9-16-14(15)17-12/h9-10,13H,2-8H2,1H3,(H2,15,16,17)/t10-,13-/m1/s1";"False";"0"
"CHEMBL34722";"THIAMIPRINE";"AZATHIOPRINE RELATED COMPOUND G|BW 57-323|BW-57-323|GUANERAN|NSC-38887|THIAMIPRINE|TIAMIPRIN|TIAMIPRINA|TIAMIPRINE";"BW 57-323|BW-57-323|NSC-38887";"2.0";"";"";"1964";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cn1cnc([N+](=O)[O-])c1Sc1nc(N)nc2[nH]cnc12";"InChI=1S/C9H8N8O2S/c1-16-3-13-6(17(18)19)8(16)20-7-4-5(12-2-11-4)14-9(10)15-7/h2-3H,1H3,(H3,10,11,12,14,15)";"False";"0"
"CHEMBL51910";"GEVOTROLINE";"GEVOTROLINA|GEVOTROLINE";"";"2.0";"";"'-troline'";"1990";"antipsychotics (dopamine D2 antagonists)";"'-troline(-troline)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Fc1ccc2[nH]c3c(c2c1)CN(CCCc1cccnc1)CC3";"InChI=1S/C19H20FN3/c20-15-5-6-18-16(11-15)17-13-23(10-7-19(17)22-18)9-2-4-14-3-1-8-21-12-14/h1,3,5-6,8,11-12,22H,2,4,7,9-10,13H2";"False";"0"
"CHEMBL1974113";"ACOXATRINE";"ACOXATRINA|ACOXATRINE|R 5385|R-5385";"R 5385|R-5385";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CC(=O)NCC1(c2ccccc2)CCN(CC2COc3ccccc3O2)CC1";"InChI=1S/C23H28N2O3/c1-18(26)24-17-23(19-7-3-2-4-8-19)11-13-25(14-12-23)15-20-16-27-21-9-5-6-10-22(21)28-20/h2-10,20H,11-17H2,1H3,(H,24,26)";"False";"0"
"CHEMBL61479";"SIRAMESINE";"SIRAMESINA|SIRAMESINE";"";"2.0";"";"'-mesine'";"";"sigma receptor ligands";"'-mesine(-mesine)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Fc1ccc(-n2cc(CCCCN3CCC4(CC3)OCc3ccccc34)c3ccccc32)cc1";"InChI=1S/C30H31FN2O/c31-25-12-14-26(15-13-25)33-21-23(27-9-2-4-11-29(27)33)7-5-6-18-32-19-16-30(17-20-32)28-10-3-1-8-24(28)22-34-30/h1-4,8-15,21H,5-7,16-20,22H2";"False";"0"
"CHEMBL47405";"ETANIDAZOLE";"ETANIDAZOL|ETANIDAZOLE|NSC-301467|RADINYL|SR 2508|SR-2508";"NSC-301467|SR 2508|SR-2508";"2.0";"";"'-nidazole'";"1987";"antiprotozoal substances (metronidazole type)";"'-nidazole(-nidazole)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(Cn1ccnc1[N+](=O)[O-])NCCO";"InChI=1S/C7H10N4O4/c12-4-2-8-6(13)5-10-3-1-9-7(10)11(14)15/h1,3,12H,2,4-5H2,(H,8,13)";"False";"0"
"CHEMBL340801";"PERLAPINE";"AW 14'2333|AW 142333|AW-142333|HYPNODIN|NSC-291840|PERLAPINA|PERLAPINE";"AW 14'2333|AW 142333|AW-142333|NSC-291840";"2.0";"";"'-pine'";"1970";"tricyclic compounds";"'-pine(-pine)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CN1CCN(C2=Nc3ccccc3Cc3ccccc32)CC1";"InChI=1S/C19H21N3/c1-21-10-12-22(13-11-21)19-17-8-4-2-6-15(17)14-16-7-3-5-9-18(16)20-19/h2-9H,10-14H2,1H3";"False";"0"
"CHEMBL2104283";"FEBARBAMATE";"FEBARBAMATE|FEBARBAMATO|GO-560";"GO-560";"2.0";"";"'-bamate; -barb-'";"";"tranquilizers/antiepileptics (propanediol and pentanediol groups); barbituric acid derivatives";"'-bamate(-bamate); -barb-(-barb-)'";"";"M03BA05";"M03BA - Carbamic acid esters";"M03B - MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS";"M03 - MUSCLE RELAXANTS";"M - MUSCULO-SKELETAL SYSTEM";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CCCCOCC(CN1C(=O)NC(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O";"InChI=1S/C20H27N3O6/c1-3-5-11-28-13-15(29-18(21)26)12-23-17(25)20(4-2,16(24)22-19(23)27)14-9-7-6-8-10-14/h6-10,15H,3-5,11-13H2,1-2H3,(H2,21,26)(H,22,24,27)";"False";"0"
"CHEMBL2107116";"NICLOFOLAN";"BAY 9015|BAYER 9015|BAYER-9015|NICLOFOLAN";"BAY 9015|BAYER 9015|BAYER-9015";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=[N+]([O-])c1cc(Cl)cc(-c2cc(Cl)cc([N+](=O)[O-])c2O)c1O";"InChI=1S/C12H6Cl2N2O6/c13-5-1-7(11(17)9(3-5)15(19)20)8-2-6(14)4-10(12(8)18)16(21)22/h1-4,17-18H";"False";"0"
"CHEMBL1398654";"CHLORISONDAMINE";"CHLORISONDAMINE CATION|CHLORISONDAMINE ION";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1";"InChI=1S/C14H20Cl4N2/c1-19(2,3)5-6-20(4)7-9-10(8-20)12(16)14(18)13(17)11(9)15/h5-8H2,1-4H3/q+2";"False";"0"
"CHEMBL353972";"ATIPAMEZOLE";"4-(2-ETHYL-2-INDANYL)IMIDAZOLE.|ANTISEDAN|ATIPAMEZOL|ATIPAMEZOLE|MPV-1248";"MPV-1248";"2.0";"";"";"1989";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCC1(c2c[nH]cn2)Cc2ccccc2C1";"InChI=1S/C14H16N2/c1-2-14(13-9-15-10-16-13)7-11-5-3-4-6-12(11)8-14/h3-6,9-10H,2,7-8H2,1H3,(H,15,16)";"False";"0"
"CHEMBL1697794";"ESTRADIOL UNDECYLATE";"DELESTREC|DEPOGIN|ESTRADIOL 17-UNDECANOATE|ESTRADIOL 17-UNDECYLATE|ESTRADIOL UNDECYLATE|SQ 9993|SQ-9993|UNDECILATO DE ESTRADIOL|UNDECYLATE D'ESTRADIOL";"SQ 9993|SQ-9993";"2.0";"";"'estr-'";"1965";"estrogens";"'estr-(estr-)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C";"InChI=1S/C29H44O3/c1-3-4-5-6-7-8-9-10-11-28(31)32-27-17-16-26-25-14-12-21-20-22(30)13-15-23(21)24(25)18-19-29(26,27)2/h13,15,20,24-27,30H,3-12,14,16-19H2,1-2H3/t24-,25-,26+,27+,29+/m1/s1";"False";"0"
"CHEMBL293743";"FENLEUTON";"A-76745|ABBOTT-76745|FENLEUTON|LOFRIN";"A-76745|ABBOTT-76745";"2.0";"";"'-leuton'";"1994";"5-lipoxygenase inhibitors";"'-leuton(-leuton)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CC(C#Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O";"InChI=1S/C17H15FN2O3/c1-12(20(22)17(19)21)5-6-13-3-2-4-16(11-13)23-15-9-7-14(18)8-10-15/h2-4,7-12,22H,1H3,(H2,19,21)";"False";"0"
"CHEMBL146980";"MOGUISTEINE";"BBR-2173|BBR2173|MOGUISTEINA|MOGUISTEINE|NSC-759829";"BBR-2173|BBR2173|NSC-759829";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CCOC(=O)CC(=O)N1CCSC1COc1ccccc1OC";"InChI=1S/C16H21NO5S/c1-3-21-16(19)10-14(18)17-8-9-23-15(17)11-22-13-7-5-4-6-12(13)20-2/h4-7,15H,3,8-11H2,1-2H3";"False";"0"
"CHEMBL431367";"ROXINDOLE";"ROXINDOL|ROXINDOLE";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1";"InChI=1S/C23H26N2O/c26-21-9-10-23-22(16-21)20(17-24-23)8-4-5-13-25-14-11-19(12-15-25)18-6-2-1-3-7-18/h1-3,6-7,9-11,16-17,24,26H,4-5,8,12-15H2";"False";"0"
"CHEMBL111232";"ROCICLOVIR";"HOE-602|ROCICLOVIR";"HOE-602";"2.0";"";"'-vir'";"";"antivirals: antivirals (acyclovir type)";"'-vir(-vir (-ciclovir))'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC(C)OCC(COC(C)C)OCn1cnc2cnc(N)nc21";"InChI=1S/C15H25N5O3/c1-10(2)21-6-12(7-22-11(3)4)23-9-20-8-18-13-5-17-15(16)19-14(13)20/h5,8,10-12H,6-7,9H2,1-4H3,(H2,16,17,19)";"False";"0"
"CHEMBL32350";"PIRLINDOLE";"PIRLINDOL|PIRLINDOLE|Pirazidol";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"Cc1ccc2c(c1)c1c3n2CCNC3CCC1";"InChI=1S/C15H18N2/c1-10-5-6-14-12(9-10)11-3-2-4-13-15(11)17(14)8-7-16-13/h5-6,9,13,16H,2-4,7-8H2,1H3";"False";"0"
"CHEMBL347491";"GUAISTEINE";"GUAISTEINA|GUAISTEINE";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"COc1ccccc1OCC1SCCN1C(=O)CSC(C)=O";"InChI=1S/C15H19NO4S2/c1-11(17)22-10-14(18)16-7-8-21-15(16)9-20-13-6-4-3-5-12(13)19-2/h3-6,15H,7-10H2,1-2H3";"False";"0"
"CHEMBL240390";"EGTAZIC ACID";"ACIDE EGTAZIQUE|ACIDO EGTAZICO|EGTA|EGTAZIC ACID|NSC-615010";"EGTA|NSC-615010";"2.0";"";"";"1983";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O";"InChI=1S/C14H24N2O10/c17-11(18)7-15(8-12(19)20)1-3-25-5-6-26-4-2-16(9-13(21)22)10-14(23)24/h1-10H2,(H,17,18)(H,19,20)(H,21,22)(H,23,24)";"False";"0"
"CHEMBL2106668";"LISADIMATE";"GLYCERYL P-AMINOBENZOATE|GLYCERYL PABA|LISADIMATE|LISADIMATO";"";"2.0";"";"";"1990";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"Nc1ccc(C(=O)OCC(O)CO)cc1";"InChI=1S/C10H13NO4/c11-8-3-1-7(2-4-8)10(14)15-6-9(13)5-12/h1-4,9,12-13H,5-6,11H2";"False";"0"
"CHEMBL2105083";"GLYCLOPYRAMIDE";"DEAMELIN-S|GLICLOPIRAMIDA|GLYCLOPYRAMIDE";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(NN1CCCC1)NS(=O)(=O)c1ccc(Cl)cc1";"InChI=1S/C11H14ClN3O3S/c12-9-3-5-10(6-4-9)19(17,18)14-11(16)13-15-7-1-2-8-15/h3-6H,1-2,7-8H2,(H2,13,14,16)";"False";"0"
"CHEMBL121810";"GANSTIGMINE";"GANSTIGMINA|GANSTIGMINE";"";"2.0";"";"'-stigmine'";"";"cholinesterase inhibitors (physostigmine type)";"'-stigmine(-stigmine)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)O[C@@H]1N2C";"InChI=1S/C22H27N3O3/c1-5-15-8-6-7-9-18(15)23-21(26)27-16-10-11-19-17(14-16)22(2)12-13-24(3)28-20(22)25(19)4/h6-11,14,20H,5,12-13H2,1-4H3,(H,23,26)/t20-,22-/m0/s1";"False";"0"
"CHEMBL2104895";"SETIPTILINE";"ORG 8282|SETIPTILINA|SETIPTILINE";"ORG 8282";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CN1CCC2=C(C1)c1ccccc1Cc1ccccc12";"InChI=1S/C19H19N/c1-20-11-10-18-16-8-4-2-6-14(16)12-15-7-3-5-9-17(15)19(18)13-20/h2-9H,10-13H2,1H3";"False";"0"
"CHEMBL38824";"DAPITANT";"DAPITANT|RPR-100893|RPR100893";"RPR-100893|RPR100893";"2.0";"";"'-tant'";"";"tachykinin (neurokinin) receptor antagonists: NK1 receptor antagonists";"'-tant(-tant (-pitant))'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"COc1ccccc1[C@H](C)C(=O)N1C[C@@H]2[C@H](C1)C(c1ccccc1)(c1ccccc1)CC[C@@]2(O)c1ccccc1OC";"InChI=1S/C37H39NO4/c1-26(29-18-10-12-20-33(29)41-2)35(39)38-24-31-32(25-38)37(40,30-19-11-13-21-34(30)42-3)23-22-36(31,27-14-6-4-7-15-27)28-16-8-5-9-17-28/h4-21,26,31-32,40H,22-25H2,1-3H3/t26-,31-,32+,37+/m0/s1";"False";"0"
"CHEMBL1697832";"CLOPREDNOL";"CLOPREDNOL|CLORADRYN|RS-4691";"RS-4691";"2.0";"";"'-pred-'";"1974";"prednisone and prednisolone derivatives";"'-pred-(-pred-)'";"";"H02AB14";"H02AB - Glucocorticoids";"H02A - CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN";"H02 - CORTICOSTEROIDS FOR SYSTEMIC USE";"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C[C@]12C=CC(=O)C=C1C(Cl)=C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO";"InChI=1S/C21H25ClO5/c1-19-5-3-11(24)7-14(19)15(22)8-12-13-4-6-21(27,17(26)10-23)20(13,2)9-16(25)18(12)19/h3,5,7-8,12-13,16,18,23,25,27H,4,6,9-10H2,1-2H3/t12-,13-,16-,18+,19-,20-,21-/m0/s1";"False";"0"
"CHEMBL1323453";"ETIFENIN";"ETIFENIN|ETIFENINA|ETIFENINE";"";"2.0";"";"'-fenin'";"1980";"diagnostic aids ((phenylcarbamoyl) methyl iminodiacetic acid derivatives)";"'-fenin(-fenin)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCc1cccc(CC)c1NC(=O)CN(CC(=O)O)CC(=O)O";"InChI=1S/C16H22N2O5/c1-3-11-6-5-7-12(4-2)16(11)17-13(19)8-18(9-14(20)21)10-15(22)23/h5-7H,3-4,8-10H2,1-2H3,(H,17,19)(H,20,21)(H,22,23)";"False";"0"
"CHEMBL271896";"BUTAPROST";"BAY Q 4218|BAY-Q-4218|BAYQ-4218|BUTAPROST|TR-4979";"BAY Q 4218|BAY-Q-4218|BAYQ-4218|TR-4979";"2.0";"";"'-prost'";"1987";"prostaglandins";"'-prost(-prost)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CCCC1([C@H](O)C/C=C/[C@H]2[C@H](O)CC(=O)[C@@H]2CCCCCCC(=O)OC)CCC1";"InChI=1S/C24H40O5/c1-3-14-24(15-9-16-24)22(27)12-8-11-19-18(20(25)17-21(19)26)10-6-4-5-7-13-23(28)29-2/h8,11,18-19,21-22,26-27H,3-7,9-10,12-17H2,1-2H3/b11-8+/t18-,19-,21-,22-/m1/s1";"False";"0"
"CHEMBL1269155";"EFETOZOLE";"EFETOZOL|EFETOZOLE";"";"2.0";"";"'ef-'";"";"Fc fusion protein";"'ef-(ef-)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"Cc1nccn1C(C)c1ccccc1";"InChI=1S/C12H14N2/c1-10(12-6-4-3-5-7-12)14-9-8-13-11(14)2/h3-10H,1-2H3";"False";"0"
"CHEMBL2107203";"PENFLUTIZIDE";"FT-124|PENFLUTIZIDA|PENFLUTIZIDE|PENTYLHYDROFLUMETHIAZIDE";"FT-124";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CCCCCC1Nc2cc(C(F)(F)F)c(S(N)(=O)=O)cc2S(=O)(=O)N1";"InChI=1S/C13H18F3N3O4S2/c1-2-3-4-5-12-18-9-6-8(13(14,15)16)10(24(17,20)21)7-11(9)25(22,23)19-12/h6-7,12,18-19H,2-5H2,1H3,(H2,17,20,21)";"False";"0"
"CHEMBL1742440";"CARPINDOLOL";"CARPINDOLOL";"";"2.0";"";"'-olol'";"";"beta-blockers (propranolol type)";"'-olol(-olol)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1";"InChI=1S/C19H28N2O4/c1-12(2)25-18(23)16-9-14-15(21-16)7-6-8-17(14)24-11-13(22)10-20-19(3,4)5/h6-9,12-13,20-22H,10-11H2,1-5H3";"False";"0"
"CHEMBL3989683";"DORANIDAZOLE";"DORANIDAZOL|DORANIDAZOLE|PR-350|RP-343";"PR-350|RP-343";"2.0";"";"'-nidazole'";"";"antiprotozoal substances (metronidazole type)";"'-nidazole(-nidazole)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"O=[N+]([O-])c1nccn1COC(CO)C(O)CO";"InChI=1S/C8H13N3O6/c12-3-6(14)7(4-13)17-5-10-2-1-9-8(10)11(15)16/h1-2,6-7,12-14H,3-5H2";"False";"0"
"CHEMBL2107463";"TEMIVERINE";"TEMIVERINA|TEMIVERINE";"";"2.0";"";"'-verine'";"";"spasmolytic agents (papaverine type)";"'-verine(-verine)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CCN(CC)CC#CC(C)(C)OC(=O)C(O)(c1ccccc1)C1CCCCC1";"InChI=1S/C24H35NO3/c1-5-25(6-2)19-13-18-23(3,4)28-22(26)24(27,20-14-9-7-10-15-20)21-16-11-8-12-17-21/h7,9-10,14-15,21,27H,5-6,8,11-12,16-17,19H2,1-4H3";"False";"0"
